date,salary,pension,NI,childcare,student,tax,take
2006-05-13,17000,,,,,,
2006-08-01,17300,,,,,,
2007-08-01,18000,,,,,,
2008-08-01,18800,,,,,,
2008-09-01,21100,,,,,,
2009-08-01,22500,,,,,,
2010-08-01,24650,,,,,,
2011-08-01,28000,,,,,,
2012-08-01,31950,,,,,,
2013-08-01,32365,,,,,,
2014-08-01,32948,,,,,,
2015-08-01,33442,,,,,,
2016-08-01,34111,170.55,,,122.00,342.80,1947.55
2017-08-01,34895,174.48,238.07,243.00,106.00,306.42,1839.76
2018-02-01,36699,183.35,,243.00,119.84,334.21,1919.47
2018-08-01,37323,186.62,350.40,243.00,125.00,350.40,1957.67
